perno,address,dateFrom,dateTo,postcode,long,lat
1477,"22 Hazel mountain, Fitzgeraldshire, N6G 1QJ",2019-01-25,,N6G 1QJ,,
1478,"4 Owen mountains, West Sarahfort, KY58 0HQ",2017-04-28,,KY58 0HQ,,
1479,"751 Mark hollow, New Teresahaven, RG6A 5UJ",2014-04-27,,RG6A 5UJ,,
148,"Studio 6, Olivia road, Robinsonside, S99 9BX",2017-06-29,,S99 9BX,-1.431,53.4042
1480,"Studio 69, Gibson pass, North Lee, KW52 9EY",2013-03-29,,KW52 9EY,,
1481,"Studio 86W, Saunders light, Leonardborough, S9 7SP",2021-09-08,,S9 7SP,-1.4084666666666668,53.386
1482,"51 Gerald courts, Karenport, W2 8HJ",2007-09-21,,W2 8HJ,-0.1886454545454545,51.5156
1482,"946 McCarthy burgs, Josephport, S65 8TW",2016-01-27,,S65 8TW,-1.287175,53.4364
1483,"Studio 00, Gordon burg, Hillborough, G2 2WA",2007-09-26,,G2 2WA,-4.2576,55.8651
1483,"56 Peacock mountains, East Danny, CF8 6TR",2018-12-01,,CF8 6TR,,
1484,"199 Terence pine, Malcolmburgh, SS1 1WQ",2019-04-24,2016-01-22 00:00:00,SS1 1WQ,0.7351000000000001,51.5378
1485,"729 Barber mountain, Billyview, PO7 9LD",2004-05-04,2018-06-21 00:00:00,PO7 9LD,-1.0532125,50.8807
1485,"2 Sara path, North Malcolm, L96 0LW",2005-01-10,,L96 0LW,,
1486,"Studio 00, Bevan island, Lake Emilymouth, CB62 4UB",2018-08-31,,CB62 4UB,,
1487,"775 Beverley summit, Port Peterville, W6 3BD",2012-05-13,,W6 3BD,-0.2204,51.4925
1487,"256 Maurice wells, Sianmouth, TQ57 5RQ",2013-02-27,,TQ57 5RQ,,
1488,"89 Williams mission, North Angelashire, M7H 2EZ",2013-03-25,2016-07-18 00:00:00,M7H 2EZ,,
1489,"13 Sharon oval, North Louise, AB6 8XJ",2020-05-02,,AB6 8XJ,,
149,"Flat 64D, Perkins brooks, Ronaldport, N80 2FX",2020-01-19,,N80 2FX,,
1490,"Flat 54R, Dennis fall, Howechester, FK7R 2FJ",2007-04-12,,FK7R 2FJ,,
1491,"67 Nelson view, South Rosemarytown, W5S 1DT",2012-12-31,,W5S 1DT,,
1492,"Studio 55k, Amanda track, Kellyland, WN9 2TA",2016-09-19,,WN9 2TA,,
1493,"833 Kate flats, Pricemouth, JE5H 1TN",2008-10-02,,JE5H 1TN,,
1494,"514 Jamie rue, West Lisa, E7 6AY",2006-02-09,,E7 6AY,0.026475,51.5472
1495,"Flat 40v, Richard centers, Hannahbury, S7 2ZP",2004-06-29,2006-08-17 00:00:00,S7 2ZP,-1.4907,53.355
1495,"Studio 56v, Lee circle, East Rickyside, RH4 0WJ",2007-10-18,2016-12-27 00:00:00,RH4 0WJ,-0.3529,51.2244
1495,"577 Pauline corners, Lake Caroline, B2 6RR",2015-01-08,,B2 6RR,-1.8998,52.4814
1496,"581 Hussain port, Marionmouth, OL1 6UW",2015-08-15,2006-07-03 00:00:00,OL1 6UW,-2.1183,53.5405
1497,"Flat 2, Carole keys, Port Sianberg, PL81 8GE",2008-12-09,,PL81 8GE,,
1497,"Flat 88s, Smith forest, Daviesside, EH6Y 2SJ",2012-12-07,,EH6Y 2SJ,,
1498,"9 Bevan greens, Bennettton, M1 1EU",2020-06-24,,M1 1EU,-2.2374,53.4809
1499,"Studio 55Y, Farrell branch, Evansmouth, N1 4UU",2020-07-02,,N1 4UU,-0.0944,51.5362
15,"075 Angela shoal, North Paulville, BH6 3LS",2014-08-05,,BH6 3LS,-1.7821,50.7276
150,"7 Richardson lakes, Lake Cliffordburgh, G14 4ZE",2017-02-26,,G14 4ZE,-4.3509,55.8805
1500,"Flat 9, Pearce brooks, Rossstad, TQ5Y 8HZ",2020-07-02,,TQ5Y 8HZ,,
1501,"Studio 04s, Robinson cliffs, North Harrietland, NW2 0LS",2010-01-10,,NW2 0LS,-0.223325,51.5608
1502,"Flat 2, Michael falls, Port Laurenstad, EH12 6YL",2020-05-06,,EH12 6YL,-3.285,55.9429
1503,"Flat 52W, Graeme forest, Pearsonville, N7 5QS",2007-09-03,,N7 5QS,-0.1205142857142857,51.5524
1504,"2 Rosie ports, Dennisbury, WN9 6JD",2007-01-29,,WN9 6JD,,
1505,"Studio 0, Thomas trail, Lake Beverley, W6 2WX",2012-09-25,,W6 2WX,-0.2204,51.4925
1506,"Flat 76O, Reid curve, North Kathrynhaven, S59 7JN",2018-10-17,,S59 7JN,,
1507,"Flat 44, Wright plain, Elliottview, CR4M 8AZ",2004-12-27,,CR4M 8AZ,,
1507,"53 Clive spurs, North Joe, WF0 9YJ",2007-04-12,,WF0 9YJ,,
1508,"943 Stacey ferry, East Rosemary, OX5 1UL",2004-02-28,,OX5 1UL,-1.2513,51.8217
1509,"Studio 2, Taylor bridge, South Roger, OX6W 6RR",2017-03-29,,OX6W 6RR,,
151,"44 Timothy pass, Tomburgh, B73 6YQ",2007-11-15,2019-11-24 00:00:00,B73 6YQ,-1.8167,52.5667
1510,"Studio 47, Angela key, Gillianbury, S9 9WY",2008-06-13,,S9 9WY,-1.4084666666666668,53.386
1510,"9 Stephanie village, Albertmouth, L08 1XB",2014-11-02,,L08 1XB,,
1510,"3 Jamie corner, West Terence, KY86 6ZJ",2017-08-05,,KY86 6ZJ,,
1511,"507 Ricky glens, New Carol, PL6V 1YB",2019-08-17,,PL6V 1YB,,
1512,"4 Harris port, South Graham, MK19 5RA",2011-01-30,2016-03-11 00:00:00,MK19 5RA,-0.8461307692307692,52.0901
1513,"907 Brooks stream, Lake Stuartshire, G74 6HQ",2007-01-06,,G74 6HQ,-4.1700333333333335,55.7667
1514,"33 Craig manors, Evansland, B0W 2UW",2004-08-16,,B0W 2UW,,
1514,"Studio 94, Williams ridges, Frankville, L74 0BD",2005-07-01,,L74 0BD,-2.9779,53.4106
1515,"Flat 1, Andrea trail, Douglasland, SW9P 5LZ",2005-07-24,,SW9P 5LZ,,
1516,"31 Owen island, North Rosie, S59 4QH",2012-07-09,,S59 4QH,,
1517,"69 Sally mews, West Annaberg, N3 8LG",2008-09-13,,N3 8LG,-0.1943,51.6004
1518,"Flat 8, Hayes inlet, New Peter, W3J 0ND",2016-03-05,,W3J 0ND,,
1519,"27 Aaron vista, Gregoryfort, G63 8AX",2007-08-27,,G63 8AX,-4.350012,56.05
152,"Flat 28u, Houghton forest, Nicoleville, LD2 8ZG",2019-02-23,,LD2 8ZG,-3.3634192307692308,52.0801
1520,"8 Connor green, South Melissamouth, HG4 4DX",2008-02-16,,HG4 4DX,-1.6055957446808509,54.1656
1521,"69 Fletcher roads, South Joel, TD67 5SF",2006-03-11,,TD67 5SF,,
1522,"74 Wayne throughway, Lake Paul, B6 7AE",2014-07-03,,B6 7AE,-1.8863,52.5047
1523,"Studio 05I, McCarthy burg, Alexanderfurt, S51 3YA",2012-10-03,,S51 3YA,,
1523,"7 Leigh locks, Jeanborough, HD0 8WR",2016-04-20,,HD0 8WR,,
1524,"3 Cooper corners, Leemouth, BS9 8NH",2018-08-26,,BS9 8NH,-2.6266,51.4874
1525,"Studio 88J, Murray parks, West Abbie, HA93 6HX",2013-11-03,,HA93 6HX,,
1526,"Studio 31, Fleming club, East Russell, W29 3FS",2010-01-29,,W29 3FS,,
1527,"Studio 7, Maria stravenue, Whitehouseborough, HX8 2LG",2009-08-27,,HX8 2LG,,
1528,"818 Mitchell landing, Davieshaven, B83 5EG",2010-11-24,,B83 5EG,,
1529,"Studio 7, Lee plains, Francesview, GU4E 3GP",2007-09-03,,GU4E 3GP,,
153,"Studio 28, Holmes mills, Lake Joanneville, GY0B 3UB",2005-03-03,2009-08-30 00:00:00,GY0B 3UB,,
153,"003 Douglas pass, West Elliott, TA5M 0QA",2009-12-12,,TA5M 0QA,,
153,"Flat 08W, Jasmine walks, Andrewbury, GL89 2NZ",2017-09-19,,GL89 2NZ,,
1530,"20 Gregory points, Port Marc, HU6P 3EF",2005-01-13,,HU6P 3EF,,
1531,"90 Angela harbor, Evansborough, N0 7WR",2006-12-23,,N0 7WR,,
1532,"9 Kayleigh way, South Gillianstad, N75 6TL",2015-08-31,,N75 6TL,,
1533,"5 Jordan shoal, Lake Michaelton, N4J 6QH",2010-02-10,,N4J 6QH,,
1534,"Studio 60b, Harrison ports, Melissaville, FY8V 7PP",2020-12-23,,FY8V 7PP,,
1535,"Studio 0, Smith run, Bruceport, S2W 3FA",2011-02-13,,S2W 3FA,,
1536,"6 Stacey trafficway, North Katie, CA2H 7RT",2021-01-29,,CA2H 7RT,,
1537,"Flat 1, Mills fort, East Kathleenside, CO3A 8BP",2016-10-09,,CO3A 8BP,,
1538,"Flat 28k, Robert square, West Gerald, M5G 5ZG",2015-05-20,,M5G 5ZG,,
1539,"Studio 49, Johnson rapids, Patelview, IP96 0QF",2021-03-31,,IP96 0QF,,
154,"1 Holly point, Lake Stanleyfort, L28 3JA",2016-12-25,,L28 3JA,-2.8658,53.4355
1540,"Flat 58G, Barnes via, Lake Katieville, W62 9AL",2014-01-07,2013-03-21 00:00:00,W62 9AL,,
1541,"Flat 0, Francesca ford, Saraport, N2A 4DQ",2005-02-16,2021-04-27 00:00:00,N2A 4DQ,,
1542,"Studio 78, Iain road, Heatherborough, G93 4XP",2004-02-05,,G93 4XP,,
1543,"1 Ward alley, North Joyceland, HR9M 0ZU",2007-08-01,,HR9M 0ZU,,
1544,"Studio 9, Collins radial, Millschester, CW4 0DB",2018-02-14,,CW4 0DB,-2.3483,53.2144
1545,"63 Saunders curve, Williamsland, KA3A 2TB",2005-12-17,,KA3A 2TB,,
1546,"Studio 4, Angela villages, Smithfurt, HU8 0EL",2005-06-09,2007-05-25 00:00:00,HU8 0EL,-0.2998,53.7693
1547,"Flat 36, Aimee view, East Zoe, CA05 4XX",2012-06-21,2020-09-06 00:00:00,CA05 4XX,,
1548,"Studio 8, Pearson ford, West Nathanchester, SK5 1EG",2011-05-21,,SK5 1EG,-2.161,53.4418
1549,"Flat 3, Julie fall, Thompsonmouth, N4 6RJ",2015-04-13,2019-08-31 00:00:00,N4 6RJ,-0.1069,51.5693
155,"788 Byrne drive, North Hollieview, NP4E 6ZG",2017-03-12,2021-03-22 00:00:00,NP4E 6ZG,,
1550,"09 Harding land, Port Callumstad, PE6 4RN",2004-03-05,,PE6 4RN,-0.2845105263157895,52.608
1551,"Flat 3, Harris corners, North Wendy, W6F 5AJ",2012-03-20,,W6F 5AJ,,
1552,"70 Annette station, Brandonhaven, DL8B 0SG",2019-04-08,,DL8B 0SG,,
1553,"0 Teresa lake, West Oliviamouth, L32 7XR",2021-03-04,,L32 7XR,-2.9,53.4833
1554,"Studio 93, Whitehead glens, New Victoria, B9S 1SQ",2017-08-16,,B9S 1SQ,,
1555,"85 Lewis forge, North Cameron, W9 6ZY",2014-03-07,,W9 6ZY,-0.18458,51.5156
1556,"Flat 47F, Bennett loop, Hudsonland, B56 4PE",2004-09-24,2007-10-24 00:00:00,B56 4PE,,
1556,"54 Hewitt courts, Port Abdul, L2 2WE",2008-08-16,,L2 2WE,-2.9779,53.4106
1557,"Flat 39, Raymond fork, East Gavinberg, B59 2ZJ",2017-09-22,,B59 2ZJ,,
1558,"Studio 54U, King corner, North Marieton, B24 2DX",2014-12-13,,B24 2DX,-1.809,52.5333
1559,"Studio 15, Baker plains, North Kevin, GY5A 6XY",2004-08-29,,GY5A 6XY,,
156,"Flat 62, Jackson ways, Jillstad, LL2 3UH",2012-09-01,2009-05-16 00:00:00,LL2 3UH,,
1560,"44 Pauline via, South Kenneth, W3 4TZ",2008-05-24,,W3 4TZ,-0.2657166666666666,51.5103
1560,"Studio 74, Bernard river, Lake Adam, CW0 6RA",2008-12-21,,CW0 6RA,,
1560,"1 Ross junction, Faulknermouth, E6K 7ZP",2011-03-25,2015-01-07 00:00:00,E6K 7ZP,,
1561,"0 Holmes cliff, Annburgh, E9 0DA",2010-09-11,,E9 0DA,-0.0414,51.5384
1562,"061 Collier views, Summersbury, BL68 8RW",2012-05-24,,BL68 8RW,,
1563,"Flat 94e, Jones radial, South Joanne, BR1 2EQ",2018-06-13,,BR1 2EQ,0.0305,51.4061
1564,"084 Parkinson forest, New Martintown, WS55 9TG",2006-06-29,,WS55 9TG,,
1565,"Studio 2, Matthews plaza, New Deborah, BB29 9SA",2017-04-22,,BB29 9SA,,
1566,"0 Wilkinson road, Dixonmouth, BR2R 7JF",2015-06-04,,BR2R 7JF,,
1566,"Flat 93, Carr valley, East Matthewland, JE1 0TF",2017-06-27,2009-04-19 00:00:00,JE1 0TF,-2.1049,49.188
1566,"9 Sally flats, South Justin, ME72 0BE",2018-12-15,2016-02-01 00:00:00,ME72 0BE,,
1567,"Flat 15, Simpson plaza, Jacquelineport, HR7 7AU",2004-05-17,,HR7 7AU,-2.54078,52.25
1568,"Flat 01, Andrea roads, Henrytown, B87 9EW",2009-12-24,2014-12-30 00:00:00,B87 9EW,,
1569,"11 Bethany trace, Lake Richard, HR4 5ZZ",2012-06-01,2016-09-14 00:00:00,HR4 5ZZ,-2.800023255813953,52.0845
157,"Studio 9, Robertson stream, South Jodiehaven, W6S 9RU",2009-01-05,,W6S 9RU,,
1570,"7 Max fort, Lake Alexandrafurt, LN2M 0NX",2017-02-26,,LN2M 0NX,,
1571,"Studio 10, Joyce port, Port Michaelmouth, CV41 7DB",2018-07-06,,CV41 7DB,,
1572,"Flat 56k, Maurice ports, West Lawrence, N34 2GW",2009-12-29,2020-02-27 00:00:00,N34 2GW,,
1573,"05 Patrick mall, Fitzgeraldchester, EH2 0PS",2004-05-08,,EH2 0PS,-3.1965,55.9521
1573,"4 Khan vista, Daviesstad, KT1 5WW",2012-07-14,,KT1 5WW,-0.2974,51.4126
1574,"51 Walsh parkways, Nathanland, W3 3FH",2016-08-24,,W3 3FH,-0.2657166666666666,51.5103
1575,"479 Geraldine valley, Phillipburgh, PE66 9TX",2004-09-06,,PE66 9TX,,
1576,"15 Janet streets, North Samuelside, PL83 8RD",2019-06-21,,PL83 8RD,,
1576,"028 Helen mission, North Paulton, M3E 0SB",2020-06-22,,M3E 0SB,,
1577,"Flat 98, Barry canyon, Karlview, G1F 5BW",2021-06-18,,G1F 5BW,,
1578,"493 Talbot corner, Denisfort, TA7 9WU",2009-05-25,2015-03-12 00:00:00,TA7 9WU,-2.902690909090909,51.0842
1578,"2 Darren view, Sallystad, W1 4EJ",2012-05-07,,W1 4EJ,-0.0986428571428571,51.4822
1579,"Studio 83, Jones falls, North Henrymouth, N6E 8AF",2009-04-17,,N6E 8AF,,
1579,"Studio 07a, Clayton radial, Shawtown, BD1B 4HZ",2010-01-15,,BD1B 4HZ,,
158,"Studio 57, Grant branch, North Anna, KW5 6ZT",2004-01-08,2013-01-22 00:00:00,KW5 6ZT,-3.3815000000000004,58.2871
1580,"96 Stevens meadows, Lake Luke, N07 4XG",2005-10-27,,N07 4XG,,
1580,"708 Cameron meadows, North Eric, B6 7AD",2010-01-11,2020-12-03 00:00:00,B6 7AD,-1.8863,52.5047
1580,"Studio 85, Harry meadows, Samanthamouth, LN34 7LG",2014-04-01,,LN34 7LG,,
1581,"Flat 7, Terence inlet, New Kayleighstad, W8W 7EU",2011-12-29,,W8W 7EU,,
1581,"Studio 51, White isle, North Susanberg, PE1A 9ND",2021-11-12,,PE1A 9ND,,
1582,"5 Black ferry, Port Eileen, M2J 0LY",2008-02-26,,M2J 0LY,,
1582,"4 Kaur parkway, South Amyland, W3 4BZ",2013-01-01,2021-02-16 00:00:00,W3 4BZ,-0.2657166666666666,51.5103
1582,"Flat 34, George burgs, West Emily, DH6X 2ES",2020-04-25,,DH6X 2ES,,
1583,"427 Richards parkways, Port Norman, E16 6XF",2016-02-13,,E16 6XF,0.0442,51.5011
1584,"Flat 02, Diana mount, Thomasbury, RM0 9XR",2004-01-04,,RM0 9XR,,
1585,"1 Hodgson walks, Russellchester, B35 2EB",2020-12-12,,B35 2EB,-1.7891,52.5188
1586,"Flat 3, Lee center, Kempbury, CF53 4NP",2004-05-20,,CF53 4NP,,
1586,"Flat 8, Frank shores, Port Hayleyfurt, N65 4WX",2012-03-11,,N65 4WX,,
1587,"30 Harper pines, New Henry, B5 8SS",2006-01-30,,B5 8SS,-1.8998,52.4814
1588,"Flat 2, Kathleen rapids, New Pamelaborough, DD49 1FG",2015-03-11,,DD49 1FG,,
1589,"Studio 32Y, Stanley haven, East Maureen, B20 8DX",2014-02-19,,B20 8DX,-1.9195,52.5156
159,"51 Williams estates, Lewismouth, CB5B 4WX",2005-10-24,,CB5B 4WX,,
1590,"086 Mills inlet, Sarahaven, M2 4WJ",2004-01-06,,M2 4WJ,-2.2374,53.4809
1591,"61 Christine loaf, South Charlesview, E2 7BD",2014-11-28,,E2 7BD,-0.055525,51.5386
1592,"5 Barbara fall, Kaurview, W35 1QS",2021-08-11,2015-01-02 00:00:00,W35 1QS,,
1593,"Studio 8, Hussain summit, East Leanne, L0 7TF",2007-02-13,,L0 7TF,,
1593,"02 Rees garden, New Emmaport, ME56 0RL",2010-11-13,,ME56 0RL,,
1593,"985 Stacey alley, Christopherfurt, M9W 9AR",2018-05-13,,M9W 9AR,,
1594,"Studio 21r, Morris village, New Keithstad, DT0H 8QT",2006-09-12,,DT0H 8QT,,
1594,"03 Trevor branch, Cherylton, SG48 4PF",2015-01-31,,SG48 4PF,,
1595,"Studio 19f, Alice circles, South Lauratown, N2B 8EZ",2007-09-18,,N2B 8EZ,,
1596,"60 Sandra divide, Port Keith, SN6 9TA",2016-09-24,,SN6 9TA,-1.732504761904762,51.6167
1597,"447 Jones drive, Lake Staceymouth, WC4W 6JN",2012-09-26,,WC4W 6JN,,
1598,"3 Karl light, Maureenville, L87 2US",2010-07-31,,L87 2US,,
1599,"227 Benjamin mountain, Flynnside, L5D 9TL",2004-04-22,,L5D 9TL,,
16,"5 Hutchinson junction, Port Brenda, M0 1AH",2011-09-05,2015-09-14 00:00:00,M0 1AH,,
160,"2 Alice haven, West Kevin, B8 8FD",2017-08-27,,B8 8FD,-1.8596,52.4916
160,"08 Evans court, North Dennis, G6H 2DT",2019-09-06,,G6H 2DT,,
1600,"Flat 13, Simon rest, New Sandra, HR6 5NW",2009-02-01,,HR6 5NW,-2.6785654545454545,52.25
1600,"49 Jordan corner, Robertsbury, B00 6UX",2020-02-16,,B00 6UX,,
1601,"3 Carl mountain, Port Sally, M9 9QD",2004-03-09,,M9 9QD,,
1602,"8 Nolan fall, East Leon, L1 9BA",2006-11-02,,L1 9BA,-2.9779,53.4106
1603,"Flat 21, Hurst lane, Swiftfurt, L0C 5NY",2021-11-12,,L0C 5NY,,
1604,"98 Allen course, New Mathew, SL1N 8JR",2018-09-13,,SL1N 8JR,,
1605,"5 Judith mountain, South Shaneberg, W4C 3WX",2014-07-04,2015-12-10 00:00:00,W4C 3WX,,
1606,"70 Brown island, Jackside, M6 4JT",2013-05-09,,M6 4JT,-2.2991,53.4926
1606,"25 Maureen plaza, East Mohammad, HR9 4WZ",2017-07-07,,HR9 4WZ,-2.5675235294117646,51.8667
1607,"Flat 7, Wood creek, South Tina, CO8M 3QX",2007-06-03,,CO8M 3QX,,
1608,"Flat 4, Janice ports, New Richard, W1 3GA",2020-07-25,,W1 3GA,-0.0986428571428571,51.4822
1609,"48 Richards gateway, Whitehouseton, G4 8ZG",2008-08-02,2019-05-28 00:00:00,G4 8ZG,-4.2576,55.8651
161,"Studio 87, Thomas drive, Clarkbury, B82 3WA",2004-11-18,,B82 3WA,,
1610,"Studio 8, Joan well, Lorrainefurt, RG2R 5ET",2010-01-09,,RG2R 5ET,,
1610,"409 Brett turnpike, Hughstad, CA1Y 7XD",2011-01-01,,CA1Y 7XD,,
1611,"332 Mohamed wells, Raymondhaven, SE9V 6DB",2007-01-08,,SE9V 6DB,,
1611,"8 Debra turnpike, Thomasberg, G3E 4RH",2014-02-22,,G3E 4RH,,
1611,"Studio 65U, Martin via, Harrisonton, PR6 9DP",2016-04-30,,PR6 9DP,-2.580388888888889,53.6933
1612,"Flat 11, Kevin shores, Katiechester, WF3 3TZ",2007-11-28,,WF3 3TZ,-1.5177500000000002,53.7406
1613,"676 Kenneth haven, Mossburgh, B7C 2UD",2009-05-08,,B7C 2UD,,
1613,"3 Patrick locks, South Barryview, CF3 8ZS",2009-07-21,,CF3 8ZS,-3.0891333333333333,51.5238
1614,"083 Robert haven, Lake Geoffreyville, G5T 8YW",2009-06-12,,G5T 8YW,,
1615,"45 Horton manor, Hussainstad, M0 5JB",2007-10-14,,M0 5JB,,
1616,"Flat 6, Amy via, Lake Kimton, N2 4RL",2012-04-29,,N2 4RL,-0.1531,51.59
1617,"29 Aimee village, Abbieville, NP1 0AN",2011-01-09,,NP1 0AN,,
1618,"84 Ward spur, South Nicola, G21 8SZ",2010-09-11,2013-02-04 00:00:00,G21 8SZ,-4.2332,55.8902
1619,"Flat 1, Simon trail, Richardsonburgh, L6B 9ET",2012-08-31,2016-02-26 00:00:00,L6B 9ET,,
1619,"44 Booth streets, Stewartton, MK0X 3GH",2017-11-11,,MK0X 3GH,,
162,"59 Davidson dale, New Shannontown, DH1B 4ZW",2020-06-08,,DH1B 4ZW,,
1620,"445 Barnes loop, Blackburnton, L3B 2BP",2018-07-27,,L3B 2BP,,
1621,"34 Bethan drives, Markmouth, L1K 1BE",2007-05-23,,L1K 1BE,,
1622,"474 Wallace pass, Harrisbury, N7 2GJ",2004-09-08,,N7 2GJ,-0.1205142857142857,51.5524
1623,"5 Whitehead plaza, Tinahaven, G6T 8HZ",2004-06-07,2015-04-10 00:00:00,G6T 8HZ,,
1624,"6 Wilson trail, New Jean, W6 5GU",2004-04-22,,W6 5GU,-0.2204,51.4925
1625,"Flat 12, Pauline course, South Victoriachester, JE7R 2LU",2009-04-21,,JE7R 2LU,,
1626,"370 Abbott light, New Josephineville, W0 7NG",2009-08-13,,W0 7NG,,
1627,"Flat 81, Joe land, East Christineside, G2 8GA",2006-11-01,2014-03-04 00:00:00,G2 8GA,-4.2576,55.8651
1628,"93 Miah manor, Savageborough, G6T 0XQ",2011-10-16,,G6T 0XQ,,
1629,"318 Roger hill, Port Ritaport, N4 8DT",2013-12-19,,N4 8DT,-0.1069,51.5693
1629,"592 Jade dale, New Justinbury, SG9R 0JW",2020-12-03,,SG9R 0JW,,
163,"Studio 4, Garner key, Hannahmouth, DH1V 8BS",2017-03-08,2019-09-07 00:00:00,DH1V 8BS,,
1630,"9 Sheila streets, Woodland, G89 5RX",2005-08-20,,G89 5RX,,
1631,"16 Lewis estate, East Leonardville, L9 3EN",2019-04-24,,L9 3EN,-2.9534,53.4616
1632,"064 Howard track, West Rosemaryshire, M8J 7TW",2015-12-26,,M8J 7TW,,
1633,"Studio 20G, Marion pines, Lambertfurt, M4 1NW",2010-02-10,,M4 1NW,-2.2374,53.4809
1634,"Flat 57C, Hussain crossroad, East Jason, G75 3AU",2010-08-20,,G75 3AU,-4.1977,55.7511
1635,"579 Alison oval, Whittakerland, W9W 3DN",2014-01-08,,W9W 3DN,,
1636,"09 Edward springs, West Jenniferhaven, RG56 1LQ",2016-10-08,2018-06-21 00:00:00,RG56 1LQ,,
1637,"Flat 23j, Richards ville, East Terryburgh, M5 2TN",2013-03-19,,M5 2TN,-2.2859,53.4792
1637,"Flat 00d, Jennings tunnel, Leeshire, B88 6AU",2013-08-09,,B88 6AU,,
1637,"9 Leon extension, Hollieton, BD0 4SH",2018-04-20,,BD0 4SH,,
1638,"85 Wayne wells, South Dianeside, HU8E 5FR",2008-10-07,,HU8E 5FR,,
1638,"1 Suzanne tunnel, Lewisland, RM3X 5QB",2016-11-07,2018-05-25 00:00:00,RM3X 5QB,,
1639,"751 Stevenson locks, New Joshuastad, W32 1YH",2008-04-04,,W32 1YH,,
164,"Flat 7, Charlene hollow, Fletcherport, SE8 2SS",2012-09-19,,SE8 2SS,-0.0261,51.4776
1640,"2 Wright cliffs, Port Garethton, FY07 5RL",2004-10-21,2015-03-25 00:00:00,FY07 5RL,,
1640,"7 Johnson village, Brownside, G65 5QZ",2006-10-30,2020-10-21 00:00:00,G65 5QZ,-4.05812,55.9733
1641,"1 Scott pass, South Ellie, B54 0BF",2016-02-20,,B54 0BF,,
1642,"25 King ranch, Cunninghamton, BD10 1XR",2017-06-06,,BD10 1XR,-1.7255,53.8328
1643,"Studio 28, Damien mount, Wilkinsonfurt, B9E 9FP",2009-02-21,,B9E 9FP,,
1644,"Studio 7, Hussain spurs, East Debratown, S0D 8YL",2006-03-21,2014-02-25 00:00:00,S0D 8YL,,
1645,"9 Sheila course, Phillipfort, L7E 0HF",2011-10-26,2021-07-15 00:00:00,L7E 0HF,,
1646,"Studio 5, Webb junction, Leslieland, SG17 7RQ",2019-04-21,,SG17 7RQ,-0.3404399999999999,52.0458
1647,"Flat 46B, Nicole centers, Gregorytown, S9B 3AD",2013-09-25,,S9B 3AD,,
1648,"034 Annette burgs, Hollyshire, MK80 4TS",2009-11-21,,MK80 4TS,,
1649,"Studio 09, Holden park, New Lynn, N2E 7ND",2012-01-13,2014-07-14 00:00:00,N2E 7ND,,
165,"6 Hughes shore, Payneside, IM1 7ZL",2008-10-19,2021-11-09 00:00:00,IM1 7ZL,-4.4833,54.15
1650,"483 Harry parkway, Lake Jadeton, B8 4ZS",2021-12-02,,B8 4ZS,-1.8596,52.4916
1651,"47 Lynn spurs, Jeffreyland, HP38 4FF",2011-05-18,,HP38 4FF,,
1652,"730 Jemma vista, Hillland, L1E 5AN",2005-09-11,,L1E 5AN,,
1652,"5 Bethany lights, Taylorborough, B6 2AQ",2005-10-10,,B6 2AQ,-1.8863,52.5047
1653,"8 Toby freeway, East Pauline, G44 1PA",2014-11-04,2013-09-22 00:00:00,G44 1PA,-4.2561,55.8143
1654,"Studio 78F, James road, West Tom, IV1B 1NW",2008-08-03,2015-02-15 00:00:00,IV1B 1NW,,
1655,"274 Shannon crossroad, Lake Beverley, G6K 8FX",2010-04-29,,G6K 8FX,,
1655,"Flat 14G, Kate walks, Port Jacqueline, L81 3SR",2016-10-27,2012-07-23 00:00:00,L81 3SR,,
1656,"6 Crawford loop, Jonathanport, HX38 2PY",2012-07-11,2017-08-05 00:00:00,HX38 2PY,,
1657,"99 Joseph isle, North Frances, BR0 7YB",2014-09-27,,BR0 7YB,,
1658,"9 Hewitt stravenue, Port Edwardville, B7C 8RH",2016-05-05,,B7C 8RH,,
1659,"Studio 88b, Gemma cape, Lake Eileen, N16 1UN",2012-03-07,2014-11-11 00:00:00,N16 1UN,-0.074,51.5625
1659,"Studio 93, Carr summit, Lake Charles, E9S 5PS",2014-01-08,,E9S 5PS,,
166,"5 Cheryl motorway, Connorside, S23 6PU",2012-02-21,,S23 6PU,,
1660,"70 Anna greens, Lake Gavin, SW28 7SW",2007-09-11,,SW28 7SW,,
1660,"820 Benjamin canyon, Millerland, S36 1LB",2011-02-25,,S36 1LB,-1.6161,53.5052
1660,"Studio 9, Abbie island, East Ann, JE4 2UU",2018-09-28,,JE4 2UU,,
1661,"Flat 60, Clark locks, Browneberg, SK38 7BZ",2004-01-02,2021-10-29 00:00:00,SK38 7BZ,,
1662,"76 Hugh well, New Margaret, GY78 4LJ",2004-10-28,,GY78 4LJ,,
1662,"Studio 85, Burrows gardens, Conorport, N95 3DR",2011-06-25,,N95 3DR,,
1663,"Studio 08, Carr alley, Port Joe, PA4 4LX",2013-10-10,2018-01-20 00:00:00,PA4 4LX,-4.415466666666666,55.881
1664,"Studio 80, Eileen loop, New Daleburgh, B71 9BB",2017-03-25,,B71 9BB,-1.9905,52.5359
1665,"33 Carly tunnel, New Jill, BR85 1BZ",2006-09-05,,BR85 1BZ,,
