pernos,initials,sex,address,postcode,mobNumber,homeNumber,workNumber,marketing,goneAway,value
2275,DD,0,"1 Tina summit, Lake Dalestad, BS7N 4SA",BS7N 4SA,(020) 74960624,0117 496 0607,+443069990607,yes,0,710.0
2276,JC,1,"1 Short terrace, Lake Shaun, NN7 7HX",NN7 7HX,0909 8790364,(0306)9990916,+44191 496 0676,no,0,710.0
2277,YG,0,"71 Thomas estates, Leefurt, CV4 1PY",CV4 1PY,08081570584,(0909)8790901,(0191) 4960456,yes,1,710.0
2278,JV,2,"Flat 95J, Lawrence extensions, Robsonchester, E0 1ZL",E0 1ZL,029 2018083,(0118) 4960929,0191 4960962,yes,0,710.0
2279,VL,0,"51 Dean hill, South Lynne, DG7X 2SY",DG7X 2SY,(0808) 1570124,029 2018450,+441614960004,yes,0,29868.017781128223
2280,NS,0,"Studio 17P, Clark point, Martynland, LN29 2AP",LN29 2AP,+44(0)118 4960507,0161 4960056,(0141)4960722,no,0,31665.889952162775
2281,ZG,2,"0 Norman cliff, Lynnefurt, M14 3PQ",M14 3PQ,+441414960738,+44(0)909 879 0790,+44(0)161 496 0822,no,0,710.0
2282,UN,0,"93 Trevor route, Edwardsfort, HU27 1FS",HU27 1FS,(0141) 4960537,+441632960853,(0808) 157 0213,no,0,710.0
2283,DH,1,"347 Marsh fort, Wilsonton, W4D 9NJ",W4D 9NJ,09098790749,+44289018810,(0121) 4960222,no,1,214153.2766168221
2284,LU,2,"Studio 5, Garry land, Williamsmouth, W9 2GD",W9 2GD,(0161)4960682,0909 8790690,(0116) 496 0456,yes,0,710.0
2285,AT,1,"0 Louise trail, Mathewstad, E6 5GS",E6 5GS,+44(0)1632960097,+44(0)161 496 0688,(0306) 999 0920,no,0,152938.9979016515
2286,IF,1,"50 White station, Bradleychester, EH6A 5GJ",EH6A 5GJ,01514960020,+44(0)20 7496 0755,+44118 4960257,yes,0,33150.40983271989
2287,UI,2,"Flat 85, Faulkner crossroad, Deborahberg, W3 7ZE",W3 7ZE,0121 4960751,+44(0)1614960757,+44131 4960409,no,0,196887.8130494214
2288,ZJ,0,"Studio 08, Briggs freeway, East Paige, M0 5LJ",M0 5LJ,+44118 4960039,+44(0)2074960099,0292018472,no,0,710.0
2289,GU,2,"68 Atkins club, Lake Jill, G8 6WU",G8 6WU,(0131) 496 0425,(0118)4960377,03069990346,no,0,30826.260095367732
2290,ZB,2,"050 Walters manor, Meganville, DL54 7YE",DL54 7YE,01314960307,+44(0)121 4960496,+44(0)118 4960419,yes,0,30938.63056028222
2291,HV,1,"Flat 83i, Bethan course, Rogersborough, BB8 9YD",BB8 9YD,+4420 74960699,(01632) 960 442,+44(0)1144960190,no,0,710.0
2292,VD,1,"Studio 98, Maurice burgs, Stevensonberg, SM4 4NS",SM4 4NS,(0116)4960505,+441314960423,+441514960815,yes,0,275023.2863811227
2293,CW,1,"Studio 79, Hill coves, Carolineshire, AL21 4RL",AL21 4RL,+44(0)1914960960,+44141 4960310,028 9018173,yes,0,30783.367602620932
2294,XY,2,"Studio 15W, Rowe prairie, Aimeechester, BR1 6FQ",BR1 6FQ,(0161) 496 0948,+4428 9018867,+44118 4960669,yes,0,32428.201813522875
2295,BB,2,"Studio 12m, Ferguson squares, Port Karen, E8 9TA",E8 9TA,+4420 74960447,01632 960680,+44(0)161 4960101,yes,0,64746.47430136552
2296,OF,2,"2 Kate crest, East Adrian, NN6 5UT",NN6 5UT,0808 1570332,(0113) 496 0811,+44141 4960825,yes,0,28437.195534971936
2297,ND,0,"46 Preston square, Port Diane, N36 5SJ",N36 5SJ,+44118 496 0395,+441314960544,0191 4960689,yes,0,30081.33329276453
2298,US,1,"4 Iain corner, East Jean, N46 5LN",N46 5LN,+44(0)1184960352,+44(0)151 496 0888,(029) 2018820,no,0,31447.815596423883
2299,EB,0,"Studio 34, Richard trace, New Harryton, EC4P 9TR",EC4P 9TR,0909 879 0724,+4428 9018879,+44114 496 0186,yes,1,710.0
2300,LY,0,"Flat 69n, Jonathan spring, Damianmouth, TR2 8BR",TR2 8BR,+44(0)1314960613,+449098790736,+44(0)115 496 0527,yes,0,158626.35487809405
2301,CZ,1,"776 Ashley meadow, West Ashleyside, SN3R 1UB",SN3R 1UB,+4428 9018068,+44117 496 0835,+44292018526,yes,0,28519.631445690495
2302,OX,0,"8 Bethan street, New Dianaburgh, G32 3PS",G32 3PS,0131 496 0569,(029) 2018901,0141 4960349,no,0,710.0
2303,PU,2,"Studio 1, Smith club, Robertsshire, B2A 5AX",B2A 5AX,(0116) 4960031,0131 496 0733,(0808) 157 0221,yes,0,32353.135279950948
2304,GX,2,"8 Davies trail, Georgiamouth, SG3 8NB",SG3 8NB,+44(0)28 9018 0769,+44(0)1632960485,0909 879 0889,yes,0,710.0
2305,KH,1,"Studio 37, Anna stream, East Melanieburgh, N60 1ZU",N60 1ZU,+449098790837,+441632960374,+44(0)3069990222,no,1,222213.99098487906
2306,GH,1,"Studio 12R, Mills highway, Marianfurt, LE7 4HL",LE7 4HL,+4429 2018 0167,+441184960438,+441164960501,no,0,14866.99979356164
2307,HM,0,"108 Howard isle, Robertburgh, W9W 5LR",W9W 5LR,0118 4960526,+44(0)141 496 0942,(020)74960545,yes,0,710.0
2308,IN,2,"Studio 8, Gray hills, Smithfort, N9F 8AG",N9F 8AG,(020)74960416,+441184960448,+44(0)161 4960286,no,0,710.0
2309,WB,1,"Flat 34, Joanne junctions, Lake Donaldville, S7C 0DR",S7C 0DR,0808 157 0995,+44(0)2074960287,0808 157 0674,yes,0,235334.842816757
2310,UC,2,"Studio 54, Johnson valleys, O'Sullivanside, CH13 7XH",CH13 7XH,(0306)9990701,028 9018 0144,03069990369,no,0,31250.587754562886
2311,YH,0,"4 Evans villages, Mitchellborough, PO9 9PW",PO9 9PW,(0118) 496 0687,01144960837,(0113)4960861,no,0,31411.003278108063
2312,WJ,2,"7 Fletcher springs, South Elliottshire, M86 3EJ",M86 3EJ,(0161) 4960101,0117 496 0816,+44(0)808 1570880,yes,0,710.0
2313,AQ,2,"50 Finch camp, Lake Rebecca, KA49 3NX",KA49 3NX,01632 960 995,(0808)1570362,(0115) 4960935,yes,0,150663.941056313
2314,AG,1,"13 Shannon cliff, Port Dylan, TQ55 6UZ",TQ55 6UZ,+441414960729,02074960960,0191 498 0028,no,0,31271.081981214425
2315,TT,1,"Flat 25, Patel village, East Suzanne, L3 4JS",L3 4JS,+44(0)116 4960124,+44(0)121 496 0044,+44(0)115 496 0013,no,0,710.0
2316,UC,1,"2 Victoria land, South Chloe, SN8 4PP",SN8 4PP,+44(0)114 496 0191,(020)74960592,+44289018235,no,0,30725.90569865614
2317,YA,1,"Studio 5, Joe plain, Lake Tracy, W2T 2AQ",W2T 2AQ,(0808)1570485,+4428 9018893,+44(0)1184960549,no,0,710.0
2318,ZO,1,"4 Raymond tunnel, Mannington, WN99 5EG",WN99 5EG,0113 4960380,+441314960187,+4428 9018 0860,yes,0,31539.2357646571
2319,OB,2,"Flat 1, Stephen views, South Janestad, JE7 3RQ",JE7 3RQ,+44(0)1514960590,+44(0)808 1570548,0151 4960352,no,0,710.0
2320,XP,2,"21 Brown circles, North Louis, G9 6RB",G9 6RB,+44(0)121 496 0116,(0306)9990170,0161 496 0514,yes,0,23121.058863435082
2321,DB,2,"92 Bell mountain, North Jamie, S4J 6RX",S4J 6RX,0151 496 0940,+44118 4960240,+44(0)1632960576,yes,0,710.0
2322,YC,2,"57 Jasmine green, Wallburgh, G60 3AG",G60 3AG,+441184960753,(020) 7496 0441,(0121) 4960093,no,0,710.0
2323,WI,1,"75 Gail knolls, Jennamouth, KT8N 9AA",KT8N 9AA,+44(0)1514960566,+441174960985,(0116)4960240,yes,0,33508.80602476131
2324,XC,1,"Studio 72, Hunt light, New Stephen, G27 5BL",G27 5BL,(0161) 496 0672,0121 496 0572,+44151 496 0168,no,0,31202.0666698687
2325,YX,1,"Flat 7, Price alley, North Philip, DH0W 9HP",DH0W 9HP,01914960297,+44113 496 0097,(0114) 4960763,no,0,710.0
2326,DW,2,"080 Knight roads, Rowleyberg, B1 2EQ",B1 2EQ,(0808) 157 0657,(0114) 496 0641,+44(0)808 1570996,yes,0,32470.06624872398
2327,VV,2,"Studio 71s, Jake fall, Chapmanstad, JE70 1LR",JE70 1LR,+44(0)151 496 0077,0141 496 0613,01164960296,no,0,152967.35785143598
2328,AG,2,"66 June wells, Harrisland, G7E 5BY",G7E 5BY,+44116 4960831,+44(0)808 1570659,01414960105,no,0,710.0
2329,BN,0,"Flat 52u, Terence parkways, North Holly, DE4 0SJ",DE4 0SJ,+44(0)1632 960100,(0117) 496 0539,0121 4960522,no,0,31891.782328725298
2330,IE,0,"43 Clifford dam, North Stewartfurt, OX2V 3HU",OX2V 3HU,+44(0)131 4960107,+44141 4960106,+44161 4960191,yes,0,710.0
2331,ZJ,2,"169 Anne isle, Kimberleyburgh, AL1 9BH",AL1 9BH,+44(0)151 4960206,02074960846,0306 9990093,yes,0,710.0
2332,PQ,1,"Studio 59, Joyce corner, Clarkfort, PR85 7BR",PR85 7BR,(0141) 4960011,+442074960986,(0114) 496 0548,no,0,214826.7138767329
2333,NT,1,"Studio 40, Kerry rest, North Nigelbury, B8T 7RS",B8T 7RS,+44(0)808 1570504,(0116) 4960933,+44115 4960520,yes,0,163513.0907231984
2334,CN,0,"Flat 22p, Ward crossing, Graychester, E6H 2GD",E6H 2GD,+44(0)114 496 0961,+441632960271,0113 496 0404,no,0,15596.169897588463
2335,SC,1,"Studio 1, Janice unions, Shirleychester, M7 6SX",M7 6SX,0118 4960457,+44151 4960006,08081570506,yes,0,31134.527744671603
2336,ZI,1,"Studio 34c, Nicole club, Port Bethan, BS1R 6WA",BS1R 6WA,(0116) 496 0861,(0131) 496 0786,01164960221,yes,0,710.0
2337,YY,2,"Flat 05k, Lewis park, Port Louise, M8 7UN",M8 7UN,+44(0)909 879 0807,(0191) 496 0668,+44141 496 0852,yes,0,710.0
2338,WH,0,"203 Turner highway, Walkerfort, CH36 1GS",CH36 1GS,+44191 496 0062,(0306) 9990555,+44(0)28 9018 0327,yes,0,32061.57022345304
2339,VJ,2,"Studio 9, Jonathan mountain, Ricefurt, G9 8YL",G9 8YL,+44(0)1314960905,02074960282,+44131 4960229,no,0,218853.17710570467
2340,RR,1,"Studio 02, Eleanor station, North Nicole, KW5 3RE",KW5 3RE,+44(0)29 2018385,+441414960172,+44(0)8081570879,no,0,30877.010373225898
2341,VD,0,"3 Stanley turnpike, East Tracymouth, E7 8GS",E7 8GS,+44161 4960546,+44114 496 0994,01914960138,no,0,710.0
2342,DJ,2,"Flat 1, Stevens lane, Lake Neil, HG9 8EJ",HG9 8EJ,+44(0)20 7496 0567,0118 4960453,+44161 4960249,no,0,29374.735576388175
2343,LF,0,"Flat 0, Young walks, Burrowsside, SP3 2JQ",SP3 2JQ,+44121 4960431,+4429 2018981,+44(0)131 4960277,no,0,30789.165623997113
2344,KS,2,"Studio 2, Elizabeth grove, Collinsshire, PR8V 2AG",PR8V 2AG,(0116) 496 0803,+44(0)114 496 0127,(0191)4960958,no,0,710.0
2345,TW,0,"86 Doyle fields, Ruthborough, S91 9JT",S91 9JT,028 9018078,(0151) 496 0251,(0131) 4960890,no,0,710.0
2346,MJ,2,"Flat 36I, Simon creek, South Julie, B81 7YZ",B81 7YZ,+44(0)115 496 0756,+44114 496 0147,+44289018031,yes,1,30642.803907240344
2347,EV,1,"Flat 86m, Baker centers, Port Kayleighfort, G54 0WP",G54 0WP,+44117 4960018,08081570444,+441154960878,yes,0,710.0
2348,HK,2,"44 Connor rue, Kempton, SR35 1JX",SR35 1JX,+44121 4960328,0116 496 0670,+44(0)289018287,no,0,4195.452294050898
2349,JZ,1,"Flat 71I, Grace ferry, Bethanybury, W8 4QX",W8 4QX,+44(0)1614960910,+44(0)114 4960826,01164960844,no,0,30318.947926194323
2350,ST,2,"Studio 81, Lynda parks, Lake Suzanne, B8S 7AJ",B8S 7AJ,+441184960507,(029) 2018877,+44292018029,no,0,710.0
2351,JK,1,"73 O'Neill garden, North Christopher, S84 7AP",S84 7AP,+44(0)113 496 0608,(0114)4960990,+4420 74960277,no,0,7092.533393457827
2352,NT,2,"21 Gail path, Port Philipport, E1 6PB",E1 6PB,+441144960777,+44151 496 0618,01144960499,yes,0,31573.636381664837
2353,UF,2,"113 Angela underpass, Lake Marilynbury, SR8X 9XT",SR8X 9XT,0116 4960612,+44(0)116 496 0349,(0191) 496 0687,yes,0,710.0
2354,IH,2,"Studio 0, Baker parks, Crossmouth, LE3M 7BY",LE3M 7BY,0161 496 0659,(0141) 4960486,+44(0)292018613,yes,0,41584.99243721154
2355,NI,1,"129 Green lodge, North Reecemouth, BA3E 2PX",BA3E 2PX,+44(0)191 4960115,+44(0)1184960487,+44(0)1514960647,yes,0,29589.811142916038
2356,CF,0,"44 Annette grove, East Sylvia, B22 8YL",B22 8YL,+44(0)306 999 0829,(01632) 960128,(0117) 496 0574,no,0,710.0
2357,JD,0,"Studio 96v, Lynch shores, Lake Marilynville, L8 1UB",L8 1UB,+44114 4960195,+44(0)1414960164,+44(0)131 496 0874,no,0,31431.623193197134
2358,AS,2,"48 Davies cape, South Joanneside, N1A 2HF",N1A 2HF,0131 4960918,+441314960464,0909 879 0500,yes,0,126784.23381822216
2359,TM,1,"Flat 18m, Lynne canyon, Tomhaven, W9 2AT",W9 2AT,+44(0)113 4960542,+44(0)116 496 0683,(0121) 4960811,no,0,710.0
2360,OC,1,"504 Lee crest, New Elizabethburgh, LD7 9DS",LD7 9DS,029 2018452,+44(0)1314960497,0116 4960218,no,0,90452.69686192388
2361,UM,1,"351 Mitchell ports, West Gordon, W2 7ZL",W2 7ZL,(020) 7496 0965,(0306) 999 0128,0131 4960766,no,0,9952.416042552155
2362,UK,1,"733 Andrea lakes, Rhyschester, L7 4TB",L7 4TB,+44(0)1164960434,01914960329,0116 496 0508,yes,0,710.0
2363,YZ,2,"5 Rose summit, Port Stuart, G6G 9ZF",G6G 9ZF,+441632 960455,+44808 1570814,029 2018197,yes,0,32481.752397369986
2364,YU,0,"Studio 98, Wright ville, East Norman, L0 4BD",L0 4BD,+44(0)121 496 0037,01174960617,(0114)4960780,yes,0,126376.97078093763
2365,DA,0,"30 Caroline prairie, West Carlborough, W7 4UF",W7 4UF,(0141)4960186,(0116) 4960422,(0151)4960187,no,0,710.0
2366,EV,0,"0 Robson inlet, Coleport, W8 4PT",W8 4PT,+4420 7496 0706,(0306) 9990601,(0191) 496 0185,yes,0,147428.64482830904
2367,VZ,0,"Flat 31B, Godfrey stravenue, New Alanshire, PL7N 8FW",PL7N 8FW,(0116)4960738,020 7946 0278,+44(0)121 496 0995,no,0,51289.24235400057
2368,LO,1,"Studio 89T, Hartley spurs, Lake Lydiashire, TD17 2RE",TD17 2RE,0161 496 0602,+442074960069,0191 4960281,no,0,710.0
2369,SX,1,"4 Kenneth forks, Dunnstad, AL7B 7NS",AL7B 7NS,(020) 7496 0991,+44(0)306 9990368,(0121) 4960820,no,1,54986.069374660394
2370,XR,2,"Flat 57, Leigh alley, Leslieside, NN71 1SE",NN71 1SE,+44306 999 0154,+44(0)3069990852,+44(0)1154960633,yes,0,32028.663779148308
2371,SO,0,"Flat 4, Scott trail, Nicholasland, HX7 1ZT",HX7 1ZT,0118 496 0330,+44(0)116 4960239,(0131) 496 0192,no,0,710.0
2372,KN,0,"365 Chambers landing, Batesside, PE59 9AY",PE59 9AY,(0151) 496 0205,0116 496 0732,(0116)4960725,yes,0,710.0
2373,KJ,0,"143 Ward ways, Barryland, TS38 4ZT",TS38 4ZT,+441914960321,(0118) 496 0520,+44(0)1164960829,no,0,33293.20967909931
2374,VU,0,"Studio 90d, Dean plaza, East Jeremy, CT2 7RR",CT2 7RR,+44808 1570522,+44(0)1632 960166,+44909 879 0294,no,0,32678.38692934494
2375,FX,2,"Flat 15V, Angela route, Parkinshire, B8 3ZL",B8 3ZL,0306 9990919,+4420 74960834,+44161 496 0829,yes,0,29726.47515851141
2376,QG,0,"82 Alice rapid, West Diane, W12 1GB",W12 1GB,02074960213,(0115) 496 0518,029 2018030,no,0,710.0
2377,WI,1,"Flat 36, Marshall pass, Robertshaven, HX35 0DA",HX35 0DA,(0191) 496 0782,+441614960148,+44808 1570219,no,1,710.0
2378,AA,1,"46 Sally inlet, Iainport, L28 6LJ",L28 6LJ,+44(0)909 879 0463,(0121) 496 0774,(0909) 879 0463,yes,0,87402.9674147905
2379,MB,0,"213 Metcalfe passage, Lake Annettetown, W5 5LT",W5 5LT,+448081570561,0151 4960622,+44(0)191 4960613,yes,0,31627.431176441452
2380,MY,0,"239 Davies road, Jacquelinechester, NE22 5QX",NE22 5QX,01632 960 022,+44(0)29 2018 0862,+44(0)28 9018403,no,0,79408.67500189698
2381,RB,0,"39 Fox plains, Collinsborough, NG5X 2ZZ",NG5X 2ZZ,+44(0)121 496 0565,+44(0)113 496 0543,(0115)4960376,no,0,710.0
2382,IR,0,"Flat 7, Jones course, Tonymouth, CW9X 5DU",CW9X 5DU,(0114)4960953,(0141) 4960429,(0121)4960106,yes,0,37953.17862526601
2383,CG,1,"Studio 11M, Howard squares, Saundersborough, W2 3XD",W2 3XD,03069990539,+44(0)141 4960612,01914960760,no,0,34037.40342867763
2384,RB,0,"Flat 1, Justin skyway, Port Lesley, S3S 9JF",S3S 9JF,(0131)4960115,+44306 9990302,0191 498 0188,yes,0,30441.67236258493
2385,HF,1,"Flat 14, Humphries pine, Clarkemouth, LN50 9HT",LN50 9HT,0114 496 0714,020 7946 0523,(0161) 4960300,yes,0,30570.6158852607
2386,FS,2,"Studio 37v, Andrew station, North Declanville, S1 6ZR",S1 6ZR,+44306 9990635,0113 496 0886,(029)2018395,yes,1,260667.37801512095
2387,IE,1,"Studio 0, Jones street, Powellshire, E3E 0XH",E3E 0XH,+44(0)1632960892,029 2018 0985,0131 496 0142,yes,1,29244.15713381738
2388,DG,0,"Flat 44Z, Armstrong coves, South Lindahaven, SO84 8FA",SO84 8FA,0909 879 0825,+44(0)289018922,+44292018614,yes,0,710.0
2389,BI,1,"Studio 26f, Lauren road, Lake Karlhaven, W57 6WN",W57 6WN,+44(0)117 4960464,+44(0)191 496 0603,+44118 496 0655,no,1,121301.75998418091
2390,SM,2,"Studio 41H, Beverley mount, Millsside, E3 8AT",E3 8AT,+44(0)28 9018 0656,(0131) 4960715,+44(0)1614960744,yes,0,30144.057383760788
2391,AV,0,"1 Damien turnpike, East Georgefort, L1 5HJ",L1 5HJ,(0115)4960953,0151 4960911,+44(0)909 879 0178,yes,0,21923.860177836148
2392,SO,1,"Flat 35, Stephanie loop, Birdstad, SP0Y 9LA",SP0Y 9LA,+441414960704,+44(0)191 496 0743,(0113) 496 0810,yes,0,95465.75470323538
2393,OM,2,"04 Stewart mountains, Dominicview, CA8R 2GP",CA8R 2GP,(0306) 999 0383,+44(0)113 4960756,+449098790344,no,0,100070.01148832748
2394,TF,1,"9 Kathleen freeway, Thomsonstad, B9B 9ND",B9B 9ND,+44(0)116 496 0339,+44(0)151 4960476,+44(0)29 2018082,no,0,32272.3722750283
2395,RB,0,"Flat 55A, Michelle terrace, Robinstad, L3H 7LS",L3H 7LS,(0118) 4960785,(0115) 4960079,+44114 4960509,yes,1,710.0
2396,AT,2,"9 Francesca ramp, Reevesport, M23 7YB",M23 7YB,+4420 74960358,(0191) 4960738,+4429 2018400,yes,0,710.0
2397,RO,2,"Flat 18, Lydia locks, Smithtown, E98 9NW",E98 9NW,020 7946 0966,09098790508,+44(0)1214960238,yes,0,32508.613859013065
2398,CM,1,"8 Russell fall, South Alicemouth, NN7Y 0FN",NN7Y 0FN,01514960303,(01632) 960 432,+441314960967,no,1,710.0
2399,PF,2,"4 Neil harbors, Birdview, IP63 0NW",IP63 0NW,02074960966,(0116)4960109,+44191 496 0329,no,0,67325.68140555911
2400,MK,0,"Studio 42z, Elaine stream, North Donald, L1 9GF",L1 9GF,+44141 496 0144,+44909 8790220,+44(0)115 496 0525,no,1,31179.30482798834
2401,EO,0,"Studio 9, Carl locks, New Rossview, L0 4XN",L0 4XN,(0151) 496 0359,+44(0)116 496 0016,0808 157 0871,no,0,31039.599280556537
2402,TS,2,"43 William loaf, Siantown, N7 4ZN",N7 4ZN,0116 496 0032,(0909) 879 0717,+44(0)3069990856,yes,0,30479.14781749539
2403,KR,1,"Studio 9, Clark manors, Greenshire, SP8 4ZG",SP8 4ZG,(0808)1570944,0151 4960926,+44116 496 0542,no,0,710.0
2404,SB,1,"Studio 58m, Slater bypass, Ryanborough, DE2P 7AY",DE2P 7AY,0808 1570347,(0131)4960923,0306 999 0909,yes,0,710.0
2405,AN,0,"4 Chadwick walks, New Chloeview, W11 8XN",W11 8XN,0118 4960860,(0191) 4960917,+44(0)29 2018572,no,0,29910.640692272147
2406,KV,0,"Studio 06z, Jessica loop, South Kevin, NE39 4RW",NE39 4RW,01614960721,+44(0)1614960453,+44161 496 0023,no,1,190670.37756800186
2407,JR,2,"Flat 04s, Angela turnpike, Port Karlport, L8K 9XW",L8K 9XW,+44(0)114 496 0083,+44141 4960024,0289018592,yes,0,111441.77127275857
2408,FX,2,"895 Declan wall, South Russell, G1A 3JT",G1A 3JT,(028)9018801,0141 496 0235,+441184960751,no,0,31823.110109312296
2409,HU,2,"09 Annette square, South Adrian, B6 3PU",B6 3PU,(0115) 4960551,+44191 4960471,+44(0)1134960376,yes,0,260796.02468714037
2410,CZ,1,"Studio 70K, Kathleen plaza, Lake Anthonymouth, DE8H 5RJ",DE8H 5RJ,+44(0)28 9018441,(0118)4960959,(0115)4960262,no,0,31599.345873285685
2411,HJ,1,"Flat 89, Ward mews, Vincentfurt, HR5B 8AA",HR5B 8AA,(0113) 496 0249,0117 4960146,(0131) 4960165,no,0,160571.02127952912
2412,EM,2,"986 Ricky river, Blakechester, M5 0SZ",M5 0SZ,+44(0)114 496 0256,+44(0)20 7496 0599,+44(0)292018590,no,0,30843.58295651328
2413,BL,2,"066 Daniel fords, Murrayville, G2 8BE",G2 8BE,01632960706,+44(0)116 496 0583,+44(0)909 879 0297,yes,0,710.0
2414,IQ,0,"Flat 15i, Baker ridges, Wrightmouth, G3W 5WQ",G3W 5WQ,+44(0)2074960653,+44191 4960078,+44(0)2074960130,yes,0,33611.625125212384
2415,XS,0,"Flat 09, Burns shore, Williamston, LN9Y 6JR",LN9Y 6JR,+44(0)306 999 0651,+44292018688,+44(0)28 9018 0681,no,0,710.0
2416,UR,0,"Flat 79, Joel skyway, Richardsonhaven, E9W 1BR",E9W 1BR,01514960093,(0116) 4960243,0115 496 0640,no,0,238721.8929325863
2417,XT,2,"Studio 1, Baker ranch, Port Ameliaport, PR5 5LL",PR5 5LL,(0113)4960369,+44(0)114 496 0270,+441184960162,yes,0,710.0
2418,QR,2,"Flat 36p, Walton spurs, Holtland, CB7P 4HZ",CB7P 4HZ,+44(0)151 4960480,0292018425,(0121) 496 0465,yes,1,710.0
2419,PB,2,"467 Dickinson cliffs, Henryside, E5E 1AL",E5E 1AL,(029)2018161,+44909 879 0316,0116 4960741,yes,0,32494.903846501238
2420,BF,2,"Studio 34, Turner squares, East Brandon, LU9 7QH",LU9 7QH,+44(0)161 4960218,(029) 2018 0290,+44113 496 0599,yes,0,710.0
2421,FT,2,"3 Ryan court, Tonytown, E64 3FR",E64 3FR,+4420 74960311,+44(0)118 496 0087,0306 9990846,no,0,710.0
2422,SA,2,"Studio 82, Gerald cove, New Julia, NP09 0ZN",NP09 0ZN,+44(0)1144960388,(0141) 4960600,028 9018796,no,0,30157.28614182263
2423,ZV,1,"Flat 4, Smith tunnel, Kennethton, S3S 8AW",S3S 8AW,+44(0)115 4960371,(01632) 960903,+44909 879 0366,yes,0,31796.65509320933
2424,QF,1,"509 Riley village, West Georginastad, TW8W 3PH",TW8W 3PH,+44(0)909 8790073,(0909) 8790241,+44141 4960649,no,1,710.0
2425,KS,2,"Flat 13f, Jenna inlet, South Jayne, PE03 8JJ",PE03 8JJ,01632960794,+44113 4960527,+4420 7496 0324,yes,1,30769.854488884215
2426,NP,2,"721 Thomas point, East Lyndaside, HR6H 9NZ",HR6H 9NZ,0808 1570573,+441154960312,0121 4960280,yes,1,33770.11316364325
2427,OS,0,"Flat 56, Sally greens, North Derek, TQ3 8AY",TQ3 8AY,0116 4960365,+44(0)117 496 0446,+441632 960 728,no,0,229949.6108021741
2428,JU,0,"0 Lawrence roads, Barlowberg, G4D 6JT",G4D 6JT,01632 960 395,+4420 74960305,+44(0)1134960733,no,0,226903.11634035717
2429,ZK,0,"452 Jamie meadow, West Charles, M2B 4EP",M2B 4EP,+44(0)1174960893,(0191) 4960405,+44(0)121 496 0537,no,1,710.0
2430,BI,0,"76 Dean inlet, West Wendyville, EN0 2ZY",EN0 2ZY,+44(0)28 9018 0014,+44(0)151 4960494,03069990784,no,0,232541.93680869913
2431,ZJ,0,"602 Louis alley, South Lawrencetown, PA8 1ER",PA8 1ER,0808 157 0198,(0117)4960581,+44(0)29 2018 0961,yes,0,76470.62268398996
2432,LI,1,"972 Whittaker station, West Angela, DD6 6LR",DD6 6LR,+44(0)1154960332,01632 960722,+44(0)306 9990890,no,0,127687.30022368705
2433,VM,1,"4 Lynne summit, Port Simonmouth, L5H 3PJ",L5H 3PJ,+441614960087,+44191 496 0764,08081570686,yes,0,85252.6652850018
2434,SF,0,"Flat 3, Shannon freeway, Port Juliatown, M7 3FW",M7 3FW,+44161 4960747,(0161) 496 0728,+44(0)20 7496 0928,yes,0,710.0
2435,FT,2,"Studio 48, Gordon trace, West Henryton, IM8V 2EE",IM8V 2EE,+44(0)306 999 0679,+44161 4960078,(0191)4960221,yes,0,32547.292945331683
2436,WJ,2,"37 Leonard neck, Yvonnestad, G9 3LP",G9 3LP,01184960558,+44(0)20 74960896,+44(0)1514960988,no,0,710.0
2437,NV,0,"30 Charles rapid, Lake Stuart, WA61 1RA",WA61 1RA,+44289018457,(0909) 8790043,0151 496 0152,no,0,252891.17764616347
2438,ZM,2,"Flat 74, Welch pine, Whitetown, DY7 9YW",DY7 9YW,(0115)4960129,(0113) 496 0777,01164960958,no,0,710.0
2439,LX,0,"69 Katy place, West Dennis, G8 1WZ",G8 1WZ,+44(0)116 4960779,+4420 7496 0572,0161 4960136,no,0,30554.6009015361
2440,TL,0,"903 Williams corners, Lake Pamela, G9F 8PY",G9F 8PY,(0115) 496 0745,+44113 4960637,0115 4960020,no,0,710.0
2441,GD,2,"Flat 9, Julian fork, New Kate, BL1 3GZ",BL1 3GZ,+44(0)113 4960233,+44115 4960808,01632960880,yes,0,710.0
2442,XM,0,"Studio 44, Brown drive, South Reece, M9 1BB",M9 1BB,+44(0)118 496 0164,(0306)9990488,0116 4960300,no,0,28938.59829282185
2443,AX,1,"815 Lee key, Port Luke, N5J 7AE",N5J 7AE,(028)9018182,+44121 496 0549,03069990630,no,0,31538.41230733426
2444,NZ,1,"Flat 6, Olivia trail, Conorstad, L3K 3SY",L3K 3SY,0118 496 0276,+44289018007,(0141)4960970,no,0,243235.4442095035
2445,SG,1,"Flat 16b, Phillips point, Holdenstad, E6H 2PG",E6H 2PG,029 2018 0861,+44(0)118 496 0280,+44(0)161 496 0548,yes,0,119320.75647734746
2446,ED,2,"Studio 63, Mandy run, East Mohammedstad, N7 9NF",N7 9NF,(0113) 4960947,02074960354,+44114 4960814,yes,0,52242.264458798934
2447,XQ,1,"Studio 5, Howell track, Williamsville, W4 0AP",W4 0AP,0114 4960508,0131 496 0813,+44(0)306 999 0434,yes,1,247670.42735540666
2448,SD,2,"Flat 28, Murphy turnpike, North Howardbury, L00 4JU",L00 4JU,029 2018 0872,0141 496 0963,+44(0)28 9018732,no,0,31890.050212319657
